iter	Passed	Remaining
0	7	72200
1	13	66019
2	19	66105
3	26	65912
4	32	64689
5	38	63352
6	43	62428
7	49	61684
8	55	61131
9	60	60752
10	66	60396
11	72	60513
12	78	60199
13	84	60021
14	90	59919
15	95	59766
16	101	59660
17	107	59584
18	113	59576
19	119	59417
20	125	59462
21	131	59443
22	137	59493
23	143	59482
24	148	59436
25	156	60006
26	162	59961
27	168	59869
28	174	59988
29	180	60054
30	186	60106
31	193	60212
32	199	60262
33	205	60248
34	211	60358
35	218	60367
36	224	60481
37	231	60564
38	237	60545
39	243	60565
40	249	60618
41	255	60636
42	261	60660
43	267	60615
44	274	60652
45	280	60640
46	286	60632
47	292	60633
48	298	60672
49	304	60647
50	310	60628
51	316	60620
52	323	60674
53	329	60706
54	335	60752
55	342	60785
56	348	60830
57	355	60895
58	361	60969
59	367	60944
60	373	60893
61	379	60873
62	385	60813
63	391	60794
64	396	60667
65	402	60577
66	407	60474
67	413	60349
68	418	60204
69	423	60080
70	428	59950
71	433	59836
72	439	59743
73	444	59631
74	450	59555
75	455	59482
76	460	59380
77	466	59327
78	471	59268
79	477	59228
80	483	59196
81	489	59158
82	494	59118
83	500	59068
84	506	59026
85	511	58943
86	516	58901
87	522	58865
88	528	58821
89	533	58776
90	539	58750
91	545	58703
92	550	58668
93	556	58635
94	561	58589
95	567	58537
96	572	58494
97	578	58430
98	583	58373
99	589	58326
100	594	58285
101	599	58220
102	605	58192
103	611	58151
104	616	58119
105	622	58099
106	628	58128
107	634	58157
108	640	58163
109	647	58184
110	652	58160
111	658	58173
112	664	58150
113	670	58148
114	676	58124
115	682	58126
116	687	58114
117	694	58135
118	699	58122
119	705	58103
120	711	58110
121	717	58122
122	723	58128
123	729	58097
124	735	58096
125	741	58089
126	747	58076
127	753	58088
128	758	58058
129	764	58079
130	770	58067
131	776	58054
132	781	58011
133	787	57968
134	792	57929
135	798	57892
136	803	57849
137	808	57805
138	814	57763
139	819	57731
140	825	57693
141	830	57643
142	835	57604
143	841	57568
144	846	57528
145	851	57491
146	857	57452
147	862	57407
148	867	57372
149	872	57325
150	878	57296
151	883	57254
152	889	57217
153	898	57436
154	904	57457
155	910	57469
156	916	57481
157	923	57495
158	928	57494
159	934	57487
160	940	57489
161	946	57474
162	952	57462
163	957	57452
164	963	57446
165	969	57440
166	975	57435
167	981	57423
168	986	57398
169	992	57384
170	997	57364
171	1003	57351
172	1009	57339
173	1015	57334
174	1020	57317
175	1026	57318
176	1032	57326
177	1039	57335
178	1044	57328
179	1050	57328
180	1056	57325
181	1062	57318
182	1068	57305
183	1074	57318
184	1080	57336
185	1086	57338
186	1092	57336
187	1098	57341
188	1104	57339
189	1110	57347
190	1116	57345
191	1122	57341
192	1128	57356
193	1134	57354
194	1140	57344
195	1146	57352
196	1152	57350
197	1158	57356
198	1164	57361
199	1170	57354
200	1176	57353
201	1182	57343
202	1188	57348
203	1194	57335
204	1199	57335
205	1205	57321
206	1211	57309
207	1217	57298
208	1222	57287
209	1228	57277
210	1234	57264
211	1240	57257
212	1245	57230
213	1251	57221
214	1256	57195
215	1262	57171
216	1267	57152
217	1273	57134
218	1279	57124
219	1284	57108
220	1290	57091
221	1295	57072
222	1301	57052
223	1306	57040
224	1312	57029
225	1318	57021
226	1324	57008
227	1329	56992
228	1335	56982
229	1341	56987
230	1347	56998
231	1353	56996
232	1359	56986
233	1365	56976
234	1370	56965
235	1376	56957
236	1382	56946
237	1388	56935
238	1393	56925
239	1399	56909
240	1405	56898
241	1410	56882
242	1416	56871
243	1422	56867
244	1427	56853
245	1433	56848
246	1439	56839
247	1445	56827
248	1450	56808
249	1456	56804
250	1462	56789
251	1467	56783
252	1473	56778
253	1479	56771
254	1485	56761
255	1490	56747
256	1496	56733
257	1502	56742
258	1508	56730
259	1514	56720
260	1519	56710
261	1526	56720
262	1532	56720
263	1537	56706
264	1543	56696
265	1549	56705
266	1555	56699
267	1561	56692
268	1567	56703
269	1573	56703
270	1579	56707
271	1585	56710
272	1591	56710
273	1597	56711
274	1603	56701
275	1609	56701
276	1615	56694
277	1620	56684
278	1626	56684
279	1633	56689
280	1638	56688
281	1645	56692
282	1651	56691
283	1656	56687
284	1662	56680
285	1668	56672
286	1674	56661
287	1679	56644
288	1685	56624
289	1690	56594
290	1695	56564
291	1701	56563
